            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460030.916666667, A.D. 2023-Mar-27 10:00:00.0000, -1.497283589969057E+08, -1.610719345463121E+07,  3.327096651302092E+04,  2.725257205566342E+00, -2.974887692800162E+01,  7.408356165523600E-04,  5.023216597132561E+02,  1.505922450720766E+08,  4.722862795336639E-01,
2460031.916666667, A.D. 2023-Mar-28 10:00:00.0000, -1.494707890764819E+08, -1.867486975151625E+07,  3.334255671602767E+04,  3.236694036541044E+00, -2.968660706781921E+01,  9.213164801202822E-04,  5.024572488822162E+02,  1.506328936823173E+08,  4.687046614332370E-01,
2460032.916666667, A.D. 2023-Mar-29 10:00:00.0000, -1.491691145312737E+08, -2.123678762596398E+07,  3.343089138380066E+04,  3.746177646472813E+00, -2.961560312293506E+01,  1.126863098654951E-03,  5.025918490189611E+02,  1.506732457881592E+08,  4.654197819965982E-01,
2460033.916666667, A.D. 2023-Mar-30 10:00:00.0000, -1.488235091420202E+08, -2.379219826091471E+07,  3.353773499274068E+04,  4.253593369626208E+00, -2.953599786628020E+01,  1.348267769518685E-03,  5.027255429035787E+02,  1.507133262064483E+08,  4.624121324206794E-01,
2460034.916666667, A.D. 2023-Mar-31 10:00:00.0000, -1.484341562193740E+08, -2.634036393943738E+07,  3.366407437689230E+04,  4.758834963971763E+00, -2.944791616153617E+01,  1.576701694864013E-03,  5.028584073692726E+02,  1.507531579711995E+08,  4.596602187261674E-01,
2460035.916666667, A.D. 2023-Apr-01 10:00:00.0000, -1.480012479124862E+08, -2.888055752767460E+07,  3.381014096360281E+04,  5.261804239663852E+00, -2.935147863292228E+01,  1.803461327835265E-03,  5.029905128344157E+02,  1.507927621933100E+08,  4.571408694395763E-01,
2460036.916666667, A.D. 2023-Apr-02 10:00:00.0000, -1.475249844417762E+08, -3.141206221421956E+07,  3.397541014670022E+04,  5.762413018387971E+00, -2.924680378331004E+01,  2.019712634975690E-03,  5.031219225972982E+02,  1.508321578491298E+08,  4.548273970383547E-01,
2460037.916666667, A.D. 2023-Apr-03 10:00:00.0000, -1.470055730992676E+08, -3.393417133913106E+07,  3.415858241042309E+04,  6.260586370268076E+00, -2.913400786540204E+01,  2.216340428418562E-03,  5.032526913773138E+02,  1.508713613431203E+08,  4.526863315904174E-01,
2460038.916666667, A.D. 2023-Apr-04 10:00:00.0000, -1.464432269555794E+08, -3.644618810133328E+07,  3.435755914127827E+04,  6.756265962777824E+00, -2.901320217093909E+01,  2.383988504096379E-03,  5.033828628037074E+02,  1.509103857550002E+08,  4.506735275540895E-01,
2460039.916666667, A.D. 2023-Apr-05 10:00:00.0000, -1.458381633183058E+08, -3.894742492155755E+07,  3.456943240670301E+04,  7.249412250252466E+00, -2.888448782467594E+01,  2.513349659333031E-03,  5.035124658028941E+02,  1.509492397566906E+08,  4.487305814154156E-01,
