            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458229.916666667, A.D. 2018-Apr-21 10:00:00.0000, -5.160177378666560E+07, -4.242753077453255E+08, -7.154978733186251E+07,  1.758638294478776E+01, -4.041224899602438E+00,  1.147347448049698E+00,  1.445497810441408E+03,  4.333493416258477E+08,  1.673040311727403E+00,
2458230.916666667, A.D. 2018-Apr-22 10:00:00.0000, -5.008200203433917E+07, -4.246218994360497E+08, -7.145022412820983E+07,  1.759348210318424E+01, -3.981732744752704E+00,  1.157352344259233E+00,  1.445980534672021E+03,  4.334940587094796E+08,  1.676888104100557E+00,
2458231.916666667, A.D. 2018-Apr-23 10:00:00.0000, -4.856162640343157E+07, -4.249633514941947E+08, -7.134979753873941E+07,  1.760036167155551E+01, -3.922252068125076E+00,  1.167333213940305E+00,  1.446464364309837E+03,  4.336391071858534E+08,  1.680711438760667E+00,
2458232.916666667, A.D. 2018-Apr-24 10:00:00.0000, -4.704066585197769E+07, -4.252996649489853E+08, -7.124850964371765E+07,  1.760702198715400E+01, -3.862783737339929E+00,  1.177289955986679E+00,  1.446949292305098E+03,  4.337844849415058E+08,  1.684510308456262E+00,
2458233.916666667, A.D. 2018-Apr-25 10:00:00.0000, -4.551913930871813E+07, -4.256308409044588E+08, -7.114636253210753E+07,  1.761346339083054E+01, -3.803328616564343E+00,  1.187222470195093E+00,  1.447435311606041E+03,  4.339301898623709E+08,  1.688284706509229E+00,
2458234.916666667, A.D. 2018-Apr-26 10:00:00.0000, -4.399706567278972E+07, -4.259568805391673E+08, -7.104335830149046E+07,  1.761968622700171E+01, -3.743887566499312E+00,  1.197130657263906E+00,  1.447922415159059E+03,  4.340762198338308E+08,  1.692034626811725E+00,
2458235.916666667, A.D. 2018-Apr-27 10:00:00.0000, -4.247446381341881E+07, -4.262777851058776E+08, -7.093949905798879E+07,  1.762569084361700E+01, -3.684461444367160E+00,  1.207014418791737E+00,  1.448410595908869E+03,  4.342225727407646E+08,  1.695760063822992E+00,
2458236.916666667, A.D. 2018-Apr-28 10:00:00.0000, -4.095135256961749E+07, -4.265935559312693E+08, -7.083478691618779E+07,  1.763147759212604E+01, -3.625051103899276E+00,  1.216873657276027E+00,  1.448899846798671E+03,  4.343692464675968E+08,  1.699461012566182E+00,
2458237.916666667, A.D. 2018-Apr-29 10:00:00.0000, -3.942775074988257E+07, -4.269041944156333E+08, -7.072922399905825E+07,  1.763704682744587E+01, -3.565657395324145E+00,  1.226708276111586E+00,  1.449390160770309E+03,  4.345162388983462E+08,  1.703137468625176E+00,
2458238.916666667, A.D. 2018-Apr-30 10:00:00.0000, -3.790367713189743E+07, -4.272097020325685E+08, -7.062281243787888E+07,  1.764239890792825E+01, -3.506281165355712E+00,  1.236518179589065E+00,  1.449881530764440E+03,  4.346635479166741E+08,  1.706789428141424E+00,
2458239.916666667, A.D. 2018-May-01 10:00:00.0000, -3.637915046223661E+07, -4.275100803286778E+08, -7.051555437215912E+07,  1.764753419532704E+01, -3.446923257182011E+00,  1.246303272893398E+00,  1.450373949720686E+03,  4.348111714059329E+08,  1.710416887810761E+00,
2458240.916666667, A.D. 2018-May-02 10:00:00.0000, -3.485418945607337E+07, -4.278053309232627E+08, -7.040745194956172E+07,  1.765245305476558E+01, -3.387584510454118E+00,  1.256063462102195E+00,  1.450867410577796E+03,  4.349591072492126E+08,  1.714019844880237E+00,
2458241.916666667, A.D. 2018-May-03 10:00:00.0000, -3.332881279688989E+07, -4.280954555080172E+08, -7.029850732582596E+07,  1.765715585470407E+01, -3.328265761275326E+00,  1.265798654184092E+00,  1.451361906273804E+03,  4.351073533293893E+08,  1.717598297144885E+00,
2458242.916666667, A.D. 2018-May-04 10:00:00.0000, -3.180303913619043E+07, -4.283804558467212E+08, -7.018872266469049E+07,  1.766164296690715E+01, -3.268967842190855E+00,  1.275508756997034E+00,  1.451857429746189E+03,  4.352559075291725E+08,  1.721152242944713E+00,
